year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct
1923,0.946,9.388000488,2.832000017,-3.832000017,15.94499969,57.00899887,3.16
1924,0.994,9.243000031,1.521000028,-4.486999989,16.96500015,25.07799911,1.02
1925,0.994,9.727000237,2.263999939,-3.140000105,17.19000053,47.70299911,1.45
1926,1.003,11.33500099,6.138000011,0.27700001,16.53300095,81.80599976,0.6
1927,0.933,8.61400032,3.75999999,-4.853000164,13.46800041,59.32699966,2.21
1928,0.973,9.222000122,1.631999969,1.230000019,16.81399918,40.38999939,1.42
1929,1.002,12.35000038,5.031000137,-5.795000076,19.67099953,33.64400101,-1.74
1930,0.96,12.47600079,7.72300005,-4.250999928,17.22900009,103.7180023,2.36
1931,1.002,10.72600079,3.48300004,-3.802000046,17.96999931,31.70100021,-3.53
1932,1.017,10.87100029,2.907000065,-0.27700001,18.83699989,46.92100143,-1.08
1933,1.027,9.718000412,3,-4.446000099,16.43700027,71.55999756,-2.69
1934,1.006,10.64700031,3.289999962,-0.558000028,18.00499916,21.02300072,-3.29
1935,1.001,10.77200031,2.470999956,-1.842000008,19.0739994,24.77700043,-3.49
1936,1.007,12.79300022,7.475999832,1.513000011,18.11000061,57.62400055,-3.7
1937,1.01,11.62100029,3.305999994,0.552999973,19.93700027,12.97799969,-2.61
1938,0.997,10.41900063,2.266000032,-4.132999897,18.5720005,52.27299881,1.88
1939,1.016,10.74900055,2.911999941,0.981000006,18.58600044,33.93000031,-1.66
1940,1.026,11.99400043,3.440999985,-2.674000025,20.54899979,26.92900085,-1.98
1941,0.976,10.26300049,4.176000118,-2.296999931,16.35000038,97.29599762,3.02
1942,0.997,9.995000839,2.015000105,-5.118999958,17.97699928,24.36700058,-0.16
1943,1.015,11.04100037,3.390000105,-5.06099987,18.69300079,50.38700104,0.92
1944,0.989,10.65300083,3.58100009,-2.798000097,17.72699928,16.14100075,1.21
1945,0.99,9.54900074,2.450000048,-4.282000065,16.64800072,79.82499695,1.58
1946,1.014,9.819000244,2.894999981,-1.610999942,16.74300003,22.02700043,1.97
1947,0.999,10.76400089,2.871999979,-3.130000114,18.65699959,48.97000122,-0.56
1948,0.991,12.15700054,5.862999916,-0.55400002,18.45100021,37.33800125,-1.21
1949,1.055,13.25700092,6.859000206,-1.083999991,19.65699959,18.82799911,0.69
1950,0.991,10.57000065,4.131000042,-5.222000122,17.00900078,25.96999931,3.17
1951,0.914,10.36400032,4.368000031,-2.049000025,16.36000061,68.53900146,4.63
1952,1.019,12.15400028,6.002999783,-1.980000019,18.30599976,55.36899948,-1.94
1953,1.015,12.53300095,6.198999882,-4.420000076,18.86700058,49.27799988,-1.89
1954,0.958,11.36900043,5.052999973,-2.000999928,17.68600082,32.20800018,-1.52
1955,1.03,13.8220005,7.171999931,-1.264999986,20.47200012,25.28800011,-1.35
1956,1.03,10.61900043,4.114999771,-0.634000003,17.12400055,30.96800041,-2.59
1957,1.04,12.13800049,5.524000168,-2.309000015,18.75200081,31.60700035,3.97
1958,0.982,12.16600037,5.670000076,1.628000021,18.66399956,49.39099884,1.01
1959,1.012,11.34100056,4.474999905,-4.744999886,18.20899963,25.35499954,1.24
1960,1.026,10.10300064,2.931999922,-2.490999937,17.27499962,60.8370018,-2.96
1961,1.012,13.2300005,6.583000183,-2.16899991,19.87700081,61.34899902,2.68
1962,1.009,10.28200054,3.496000051,-2.614000082,17.06800079,64.66400146,2.37
1963,1.034,11.91400051,5.484000206,-1.35800004,18.34399986,12.27900028,-1.88
1964,0.999,9.816000938,3.036000013,-2.11500001,16.59799957,43.73600006,0.73
1965,1.005,9.701000214,3.039000034,-3.78399992,16.36300087,50.43299866,3.7
1966,1.027,10.82500076,4.085999966,0.050000001,17.56500053,48.3030014,-1.27
1967,1.026,12.24100018,5.59800005,-4.053999901,18.88599968,16.74300003,2.66
1968,0.898,8.399000168,1.888000011,-4.330999851,14.91100025,101.0680008,3.25
1969,1.04,13.83200073,7.130000114,-0.597000003,20.5359993,14.99699974,0.88
1970,1.009,13.59200096,6.44299984,-2.99000001,20.74200058,33.12799835,2.5
1971,1.037,14.07600021,7.21600008,-2.982000113,20.93700027,43.58800125,2.8
1972,0.994,11.11400032,4.518000126,-2.964999914,17.71100044,59.96300125,3.96
1973,1.009,11.62200069,4.609000206,-4.043000221,18.63699913,42.07799911,-1.03
1974,0.96,8.624000549,1.588999987,-4.059999943,15.6590004,71.10800171,1.57
1975,0.928,9.124000549,2.424999952,-5.497000217,15.82499981,40.69100189,3.55
1976,0.99,9.990000725,3.316999912,-1.919999957,16.66399956,33.70399857,2.48
1977,0.989,9.292000771,2.244999886,-2.969000101,16.34000015,69.95200348,-3.16
1978,0.953,9.68200016,2.609999895,-4.342999935,16.75499916,16.68700027,1.96
1979,0.972,10.89900017,4.5,-3.256999969,17.29999924,69.16100311,-2.03
1980,0.976,8.909000397,2.282000065,-1.899999976,15.5369997,49.43000031,1.32
