year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1940,1.396,11.16200066,3.523000002,18.80200005,36.11700058,-1.99,7.762000442,0.314500034,16.84049988,162.5569993,-1.315
1941,1.25,10.11000061,2.869999886,17.35000038,35.88600159,-0.71,9.310250521,1.781249982,13.24099994,146.6200028,-1.425
1942,1.06,9.872000694,1.631000042,18.11300087,33.75699997,1.17,7.120250463,1.000249923,14.05925012,238.5139999,-1.9325
1943,1.081,10.19500065,2.351999998,18.03899956,27.7689991,2.07,6.683000445,-0.692249954,14.44049954,124.7600021,1.795
1944,1.09,7.789000511,0.771000028,14.80799961,46.52000046,2.28,7.396000385,0.353000015,12.94724989,170.553999,2.4325
1945,1.274,9.532000542,2.572000027,16.49300003,22.1439991,1.97,6.564750433,0.183250003,12.23975003,299.1759968,1.43
1946,1.327,11.1420002,3.756000042,18.52899933,44.02000046,-0.65,5.899250209,-0.440000027,14.22599983,224.4379978,1.125
1947,1,11.40200043,4.264999866,18.54000092,29.23999977,0.84,7.421500325,0.618000016,14.39725041,130.1760025,-0.03
1948,1.273,9.892000198,3.036999941,16.74799919,59.51100159,1.27,7.403250217,0.409749985,14.98124957,214.0089932,0.64
1949,1.123,10.84400082,3.385999918,18.3029995,26.70999908,-1.13,8.688500404,2.396750003,15.45474958,224.0900002,0.885
1950,0.875,7.98900032,1.149999976,14.82900047,79.81300354,2.44,8.501000404,1.548499927,13.14300013,122.6050034,0.38
1951,1.149,10.47300053,4.131000042,16.81599998,81.34100342,4.19,6.699500203,0.256999999,12.56399989,192.4660072,2.1525
1952,0.959,9.80600071,2.740999937,16.87100029,54.5,3,6.230250359,-0.101999998,15.50200033,229.6500015,3.3875
1953,0.867,12.51600075,5.230999947,19.8029995,19.81599998,0.87,8.979000449,2.456749946,16.05124998,156.4160004,3.5075
1954,0.794,12.52600098,5.867000103,19.18600082,34.10900116,-1.19,9.369250536,2.688250032,14.83225012,137.1559963,1.445
1955,0.987,11.17800045,4.357999802,17.99900055,37.98199844,0.67,8.3697505,1.908250064,15.11225009,150.1959992,0.0275
