year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1899,1.175,8.101000786,0.085000001,-5.079999924,16.11800003,33.66400146,-2.27,6.294750504,131.4970016,-2.146666667,-0.594249988,13.18499994
1900,1.301,8.855999947,0.653999984,-3.46600008,17.05999947,18.68300056,-4.82,7.980250239,46.16300106,-4.956666667,-0.138750032,16.10074997
1901,1.223,11.27500057,4.346000195,-1.246999979,18.20400047,24.11700058,-2.32,8.383500338,139.9420013,-2.066666667,1.346500039,15.4212501
1902,1.219,7.925000191,-0.615999997,-3.095999956,16.46699905,13.84899998,-3.38,6.073250234,121.7469988,-3.103333333,-1.663750008,13.81124973
1903,1.197,8.657000542,0.388000011,-6.21600008,16.9260006,16.3239994,-1.94,5.88250035,142.277998,-1.946666667,-1.55950002,13.32525015
1904,1.179,8.782999992,0.442000002,-5.274000168,17.12400055,34.37400055,-2.33,5.958000183,120.8530006,-1.813333333,-1.949750025,13.86575031
1905,1.146,10.24400043,2.686000109,-5.962999821,17.8029995,26.24900055,-0.62,5.657500304,176.6389999,-0.793333333,-1.337499917,12.65249991
1906,1.109,8.30600071,0.079000004,-4.086999893,16.53300095,63.7159996,0.7,6.171500444,164.3279991,1.08,-1.19624996,13.54025006
1907,1.124,8.098000526,-0.159999996,-7.085000038,16.3579998,51.98799896,1.94,5.164250337,206.237999,2.34,-2.060000014,12.38924992
1908,1.116,7.980000496,0.851999998,-5.085000038,15.10900021,45.20600128,2.98,6.053000391,184.1940003,2.83,-0.577000082,12.68375015
1909,1.193,10.00800037,1.032999992,-5.975999832,18.98399925,29.76199913,1.24,6.57300023,152.7840023,1.01,-1.091749959,14.23849976
1910,1.213,6.920000553,-3.092999935,-5.645999908,16.93400002,16.9090004,-1.71,6.568750203,80.91900063,-2.276666667,-2.436249971,15.57424998
1911,1.159,6.459000111,-2.529000044,-5.376999855,15.44799995,22.07999992,0.82,5.920250177,138.0939999,0.103333333,-1.833249973,13.67449999
1912,1.181,6.934000492,-1.052000046,-5.985000134,14.92099953,44.21300125,3.44,5.292750269,161.8610039,2.423333333,-2.181000032,12.76750004
1913,1.181,8.900000572,-0.169,-5.197999954,17.96999931,21.11199951,2.44,6.307750344,210.0440063,2.196666667,-1.869999983,14.48649979
1914,1.194,8.86700058,-0.578000009,-6.151000023,18.31299973,8.444999695,0.24,6.865250409,132.3500004,-0.653333333,-1.627749965,15.35925007
1915,1.16,9.159000397,0.477999985,-6.097000122,17.8409996,62.70100021,3.91,4.962000191,258.7880058,3.946666667,-3.116749987,13.04174972
1916,1.204,8.417000771,-1.243999958,-4.711999893,18.07999992,30.79800034,2.53,6.294000566,149.8300018,2.376666667,-1.539249957,14.12825012
1917,1.205,8.622000694,0.314999998,-5.943999767,16.92900085,14.19799995,-1.31,6.208250344,81.15100002,-1.203333333,-1.349249914,13.76575005
1918,1.217,8.633000374,1.184999943,-5.803999901,16.08200073,23.0340004,0.3,6.947250143,136.1429978,-0.506666667,-0.181249976,14.07675028
1919,1.272,10.76400089,2.832000017,-4.40199995,18.6970005,11.31799984,-4.34,8.796500623,44.07999992,-5.29,0.178000018,17.41649985
1920,1.21,9.646000862,1.610000014,-5.34800005,17.68300056,42.65499878,-0.89,6.35275048,159.0039978,-0.94,-1.508250013,14.21450019
1921,1.197,8.897000313,0.103,-5.447000027,17.69199944,26.83600044,-2.27,6.45050016,137.3710003,-1.71,-1.174500011,14.07649982
1922,1.213,11.67300034,2.937000036,-2.453000069,20.4090004,43.42900085,-0.31,7.79850018,180.7519989,0.546666667,0.488749992,15.10924983
1923,1.164,8.199000359,1.537999988,-4.576000214,14.86100006,44.67399979,3.23,7.209500432,218.293003,2.45,0.743249968,13.67724967
1924,1.233,8.460000038,0.07,-5.65899992,16.85099983,19.37299919,1.05,6.108250201,131.4800015,-0.423333333,-1.440749986,13.65824986
1925,1.243,8.98900032,1.36500001,-3.714999914,16.61400032,38.50799942,2.25,7.473500431,154.1000023,2.11,0.152000047,14.79649997
1926,1.227,10.14800072,4.138000011,-1.475000024,16.15800095,68.3030014,-0.55,8.040500522,171.5699997,-0.09,1.413249984,14.66850019
1927,1.191,7.656000137,2.105999947,-5.15199995,13.20699978,55.39500046,3.12,5.877000228,182.0289993,3.266666667,0.442750007,11.31200004
1928,1.241,8.721000671,0.409000009,-0.085000001,17.0340004,33.72700119,2.46,7.642500401,192.1980019,2.75,0.893000031,14.39300013
1929,1.244,11.60300064,3.977999926,-6.407999992,19.22999954,26.75900078,-1.93,7.887500405,111.2080021,-0.15,0.473749996,15.30249977
1930,1.197,11.52600098,6.368999958,-4.68599987,16.68499947,95.48300171,3,8.140750408,190.3010044,-0.336666667,1.511500031,14.77124977
1931,1.237,9.184000015,0.899999976,-3.901000023,17.46899986,29.93400002,-3.2,8.286500216,115.2859974,-3.383333333,1.070749968,15.50349975
1932,1.249,10.49500084,2.377000093,-1.692999959,18.61400032,40.27500153,-0.75,8.103250384,191.9920044,-1,1.461000055,14.74674988
1933,1.231,9.707000732,3.10800004,-4.666999817,16.30699921,63.41999817,-2.79,8.761250526,107.3869991,-2.513333333,1.649500012,15.87399983
1934,1.223,10.24100018,2.450999975,-1.730000019,18.03100014,18.15500069,-3.77,9.057250381,188.9639988,-3.646666667,1.558999969,16.55624986
1935,1.235,10.59200096,1.008999944,-3.180999994,20.1760006,25.80400085,-3.94,7.872500479,80.93600082,-3.703333333,-0.238250017,15.98449993
1936,1.234,12.17500019,5.993999958,-1.603000045,18.3579998,48.45500183,-4.08,10.65300059,147.7730026,-4.223333333,3.370999962,17.93624997
1937,1.239,10.89700031,1.993000031,-1.210000038,19.8029995,10.94900036,-2.81,8.912500381,162.359004,-2.69,1.519999953,16.30674982
1938,1.219,10.11000061,1.154000044,-4.479000092,19.06599998,45.56100082,1.76,7.971750259,191.4419975,1.626666667,0.476249993,15.46725035
1939,1.237,11.36800098,3.457999945,-0.458999991,19.27899933,34.30400085,-1.72,9.11700058,155.8120022,-1.706666667,1.741999984,16.49275017
1940,1.249,11.8210001,2.336999893,-3.58100009,21.30500031,23.4489994,-2.45,9.595500231,135.7749958,-2.31,1.379749924,17.81200004
1941,1.202,9.93100071,3.612999916,-3.005000114,16.25,82.69100189,3.25,8.290250421,215.1900024,1.75,1.767749965,14.81375003
1942,1.248,10.23600006,2.345000029,-5.18599987,18.12899971,21.07999992,-0.24,6.594500348,111.9649982,0.586666667,-0.600249976,13.79075003
1943,1.241,10.61800003,2.460000038,-5.544000149,18.77700043,43.24700165,0.64,6.970250204,152.5960045,1.03,-0.043249998,13.98449993
1944,1.22,10.12200069,2.263999939,-3.546000004,17.9810009,14.87800026,1.25,7.032000363,277.2930088,1.946666667,0.252499998,13.81250048
1945,1.191,9.391000748,2.007999897,-4.84800005,16.77499962,67.8789978,1.42,6.345250398,208.4829941,1.833333333,-0.296499997,12.9882499
1946,1.248,10.5170002,3.638999939,-3.023999929,17.39699936,20.52499962,1.86,8.284750342,117.0269985,-0.196666667,1.786999971,14.78349984
1947,1.264,10.3760004,2.148000002,-3.095999956,18.60400009,42.00600052,-0.55,7.643500268,198.6450062,0.43,0.434249967,14.85424995
1948,1.27,11.35300064,3.815000057,-1.34800005,18.8920002,28.66399956,-1.36,8.603500485,198.5980015,-0.243333333,2.034250021,15.17424989
1949,1.287,12.2850008,4.56400013,-2.128000021,20.00799942,12.86200047,0.7,8.727500439,111.5049982,-0.616666667,1.381250024,16.07499981
1950,1.244,9.9810009,2.375999928,-6.576000214,17.58799934,21.81599998,3.01,6.461000457,172.2000027,3,-0.697750062,13.62074983
1951,1.125,9.55300045,2.91899991,-3.015000105,16.18700027,53.89599991,4.16,6.998500288,193.5740013,3.976666667,0.303999961,13.69325018
1952,1.197,11.13200092,4.070000172,-3.279999971,18.19400024,49.02299881,-2.09,8.437000513,139.5619965,0.566666667,1.300250054,15.57450008
1953,1.221,11.77000046,4.209000111,-5.372000217,19.33200073,41.92399979,-2.13,8.359500319,119.8759985,-0.93,1.146749944,15.57375014
1954,1.228,10.52000046,3.224999905,-3.654000044,17.81599998,27.55999947,-1.78,8.20200032,134.9279957,-1.536666667,1.073249996,15.33150029
1955,1.215,12.93900108,5.474999905,-3.049999952,20.40399933,19.15200043,-1.56,8.605250478,118.4589977,-1.106666667,1.643749997,15.5679996
1956,1.234,9.889000893,2.433000088,-2.250999928,17.34600067,28.26499939,-2.84,8.762500644,80.67599868,-0.11,1.675250054,15.85074997
1957,1.182,11.48300076,3.792999983,-3.032999992,19.17399979,24.01399994,3.91,8.318000436,191.6520005,4.326666667,1.217250049,15.4202497
1958,1.204,11.56500053,4.414999962,-0.319000006,18.71500015,36.90999985,-1.57,8.420500398,190.1800041,0.636666667,1.292999988,15.54900002
1959,1.174,10.53300095,3.08100009,-5.828999996,17.98699951,18.49900055,-0.69,7.818250597,107.3360024,-0.583333333,0.774749995,14.86249995
1960,1.195,9.5,1.817000031,-3.888999939,17.18499947,54.07099915,-3.07,8.205500364,107.1079989,-2.806666667,0.843750037,15.56874967
1961,1.15,12.39700031,5.311999798,-3.410000086,19.48399925,46.49200058,-0.89,9.360500455,104.8190012,-2.353333333,2.307749868,16.41400027
1962,1.129,9.003000259,2.177000046,-3.512000084,15.82900047,62.55699921,2.19,7.150000215,193.1379967,2.51,0.406499982,13.89449978
1963,1.17,11.20500088,3.887000084,-2.822999954,18.52400017,8.175999641,0.63,8.314250469,125.9260015,1.296666667,1.419999983,15.20974994
1964,1.141,9.003000259,1.671000004,-3.546000004,16.33699989,43.56100082,1.19,7.589750469,186.5510006,1.89,0.625249997,14.55524993
1965,1.082,9.069000244,2.138999939,-4.982999802,16,48.75,3.79,6.643500417,157.0870018,4.013333333,-0.050999969,13.33875024
1966,1.158,10.04500008,2.890000105,-1.256999969,17.20100021,43.34000015,-1.36,8.726750255,118.566,-1.35,1.764499985,15.68999982
1967,1.146,11.51600075,3.963000059,-4.896999836,19.06999969,16.7140007,2.43,7.532000542,208.1839981,2.526666667,0.469250023,14.59574986
1968,1.014,8.006999969,1.199000001,-5.287000179,14.81599998,89.78399658,2.87,6.678000271,226.5219937,3.186666667,-0.271500036,13.62874997
1969,1.125,13.14700031,5.427000046,-2.242000103,20.86700058,10.74400043,0.79,8.314750433,203.5329981,1.04,1.007749975,15.62325001
