year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1975,0.858,12.49300098,5.083000183,19.90299988,31.00900078,1.53,7.805000544,0.629000038,14.98175001,207.0530014,3.5175
1976,0.784,12.29500103,4.68599987,19.90500069,76.40499878,3.77,8.634500623,1.559249982,15.71099997,142.2999992,3.9475
1977,0.882,10.72000027,3.292000055,18.14900017,25.19199944,3.15,8.628250241,1.752000049,15.50549984,148.4980011,-3.5675
1978,0.954,10.30900002,3.042999983,17.57699966,35.54299927,-3.05,8.096250296,0.980499996,15.21324992,103.2740011,2.3425
1979,0.984,11.83200073,4.369999886,19.29400063,40.68000031,1.63,9.610500574,2.753250003,16.46850014,139.2919979,-0.465
1980,0.926,11.66500092,4.355000019,18.97599983,21.5189991,-1.11,8.407750487,1.656500008,15.15974998,156.5319977,-0.86
1981,0.943,11.31900024,4.031000137,18.60899925,49.9129982,-0.63,9.256250262,2.434750065,16.07924962,174.0949974,1.575
1982,0.992,9.648000717,1.013000011,18.2840004,38.05699921,1.15,8.22925055,0.576250002,15.88325,188.0649948,2.485
1983,0.936,10.6050005,3.634000063,17.57699966,43.54299927,2.45,8.447750449,1.792500004,15.10399985,150.1650028,1.14
1984,1.069,10.83200073,2.148999929,19.51799965,58.69200134,1.19,7.142250419,-0.997500062,15.28325033,163.579998,1.325
1985,0.808,12.26600075,3.743999958,20.79000092,50.21699905,1.91,7.798250318,-0.018249989,15.61550021,148.6199989,-1.885
1986,0.794,9.252000809,1.355999947,17.15099907,45.07799911,-1.46,8.299250364,0.361499951,16.23924971,168.4120026,1.9175
1987,0.879,9.922000885,2.164999962,17.68000031,72.64700317,1.96,7.679000497,0.018249989,15.34025025,232.1720009,-1.545
1988,1.076,13.29300022,5.149000168,21.43799973,116.0530014,2.28,9.773750305,1.277750045,18.27125001,59.55300164,-2.35
1989,0.768,13.42800045,4.157999992,22.70000076,1.463000059,-3.61,8.663250327,0.565500021,16.76250005,158.2480011,-1.275
1990,0.803,10.0180006,2.193000078,17.84399986,53.67300034,-0.95,8.483000398,0.944000028,16.02275014,135.7979965,0.5525
1991,0.946,10.68800068,2.687999964,18.69000053,49.93000031,0.93,8.388000369,0.891000003,15.88600016,110.0549965,1.2775
1992,0.661,7.406000137,0.637000024,14.17599964,25.30599976,0.62,6.825750351,-0.078500018,13.73075008,295.3670101,2.0075
1993,0.59,5.936000347,-0.578000009,12.45100021,98.5490036,3.26,5.423750281,-1.144999996,11.99324989,224.8959999,2.0975
1994,0.899,9.676000595,1.411000013,17.94199944,96.61299896,3.12,8.536750317,0.64199999,16.43249965,136.2799969,-1.125
1995,0.934,9.285000801,1.929999948,16.6420002,65.42199707,-0.88,7.468750477,0.165999949,14.7727499,157.5519981,2.2425
1996,0.848,10.62400055,2.009000063,19.23999977,53.73099899,2.3,7.795250475,-0.136499942,15.72749996,72.35499955,4.225
1997,0.81,9.429000854,2.272000074,16.58799934,21.54400063,2.59,8.2135005,1.350250021,15.07849979,198.7050018,4.29
1998,0.925,12.56200027,4.43200016,20.69300079,68.89299774,4.66,8.730000198,1.898000002,15.56275022,230.4909935,0.025
1999,0.997,10.71700096,2.743000031,18.69099998,52.1590004,1.63,7.628500462,0.523249984,14.73524976,163.2639999,0.99
