year,chron,tmax.lsum,stream.yel,swe.yel
1025,0.515,-0.36,102.043756,49.845
1026,0.589,1.18,162.4749588,55.555
1027,0.456,-0.02,106.3619854,73.266
1028,0.517,-0.21,100.8756708,59.607
1029,0.434,-0.58,97.45103041,55.363
1030,0.591,0.32,99.72095651,40.371
1031,0.729,1.25,127.8752323,28.998
1032,0.422,-0.43,102.2789911,39.095
1033,0.466,0.51,140.212404,49.387
1034,0.617,-0.36,61.48744336,68.344
1035,0.447,-1.07,63.7949697,71.747
1036,0.534,-0.43,84.29201495,60.38
1037,0.586,0.35,84.87629929,51.414
1038,0.551,-0.06,104.4206604,64.336
1039,0.424,-0.77,93.27954855,66.079
1040,0.389,-0.28,68.04346724,47.88
1041,0.487,0.39,81.99482353,44.649
1042,0.545,-0.21,71.41450586,55.907
1043,0.495,-2.3,77.40810495,54.092
1044,0.431,0.02,137.9705627,60.033
1045,0.568,-0.17,183.5635447,50.786
1046,0.638,1.07,162.1012768,52.187
1047,0.473,0.77,112.4052085,46.647
1048,0.472,0.92,90.73742188,56.178
1049,0.524,-1.82,128.4654775,57.504
1050,0.445,1.52,116.0877611,36.621
1051,0.484,1.4,129.6541539,45.693
1052,0.504,1.4,81.43037514,57.051
1053,0.351,0.43,72.74220065,61.782
1054,0.395,0.47,104.9026443,64.451
1055,0.385,1.89,72.24144687,58.675
1056,0.287,2.38,73.92416633,67.516
1057,0.336,1.85,116.0877611,53.521
1058,0.519,0.62,124.1041875,55.199
1059,0.317,0.92,65.43143356,68.335
1060,0.412,1.74,92.4243565,54.935
1061,0.478,1.33,113.7067995,40.225
1062,0.382,1.93,84.48632812,43.931
1063,0.346,1.03,110.099776,67.324
1064,0.435,0.28,140.859595,65.852
1065,0.381,1.52,113.1843642,53.297
1066,0.411,0.47,105.1444698,49.086
1067,0.329,0.8,83.90472832,83.529
1068,0.442,0.17,57.38342096,53.51
1069,0.291,1.25,57.25144276,76.25
1070,0.278,1.03,66.95552744,87.906
1071,0.297,-0.09,81.24309047,67.155
1072,0.26,1.1,65.13080343,48.587
1073,0.388,0.84,112.1466837,39.849
1074,0.384,0.84,65.28094544,75.636
1075,0.462,1.07,96.33551769,46.038
1076,0.453,0.73,117.161908,57.272
1077,0.574,1.4,114.4949774,52.165
1078,0.503,1.22,86.85332227,60.649
1079,0.468,1.25,126.9949454,51.034
1080,0.711,-1.22,122.4014142,47.111
1081,0.522,1.7,117.161908,27.077
1082,0.435,0.92,102.9879552,60.05
1083,0.704,1.63,118.7917925,50.49
1084,0.455,-0.17,106.1173596,81.386
1085,0.541,-0.84,145.4743534,52.204
1086,0.62,0.13,197.1453035,43.669
1087,0.703,-1.1,193.5469962,29.954
1088,0.573,0.62,149.5500063,46.622
1089,0.653,0.32,109.3418545,43.862
1090,0.644,-0.17,116.3553711,43.164
1091,0.575,0.47,57.11976809,35.885
1092,0.479,-0.39,77.9446723,56.415
1093,0.538,0.02,124.9644366,48.563
1094,0.551,0.51,98.80670928,64.633
1095,0.382,-0.47,85.07195936,62.809
1096,0.467,0.8,80.86981238,53.729
1097,0.58,1.1,64.0894339,47.62
1098,0.458,-0.77,91.36638364,67.807
1099,0.508,0.09,106.3619854,50.92
1100,0.507,0.13,91.99970516,29.011
1101,0.459,-0.43,80.12839348,41.166
1102,0.434,-0.28,80.68381697,51.982
1103,0.431,-0.58,155.8785781,57.857
1104,0.538,0.24,58.58500017,12.028
1105,0.537,0.21,116.0877611,49.023
1106,0.684,-0.06,102.7510895,66.699
1107,0.492,0.35,162.4749588,46.291
1108,0.347,0.8,81.80624067,58.747
1109,0.485,-0.51,95.45230835,68.513
1110,0.461,0.06,120.4443509,33.803
1111,0.539,-1.25,101.8090618,65.379
1112,0.411,-1.18,131.7608645,53.949
1113,0.522,-1.55,143.8091222,40.839
1114,0.488,-0.24,113.1843642,58.091
1115,0.487,-0.95,72.24144687,50.409
1116,0.613,-0.28,114.7589155,21.767
1117,0.552,-1.14,149.5500063,60.346
1118,0.412,-1.52,148.1789236,69.864
1119,0.353,-0.32,105.3868529,60.427
1120,0.305,-0.36,137.9705627,75.131
1121,0.333,-0.99,122.6835786,52.181
1122,0.472,0.24,78.12435333,51.576
1123,0.258,0.35,64.23717531,76.719
1124,0.348,0.77,72.74220065,39.973
1125,0.308,-0.09,121.0002968,68
1126,0.242,-0.39,48.72888067,62.6
1127,0.328,-0.47,77.58654907,76.013
1128,0.387,-0.36,125.5412462,38.481
1129,0.284,-0.88,152.6815062,74.254
1130,0.25,-0.36,80.49824934,61.519
1131,0.345,-0.84,90.11278986,55.966
1132,0.246,-0.24,67.57505931,61.115
1133,0.261,-0.28,91.15624679,53.483
1134,0.297,-1.67,119.8909594,53.798
1135,0.252,-0.73,90.5287316,64.051
1136,0.255,-0.84,117.161908,60.118
1137,0.279,-0.06,98.35273369,60.06
1138,0.395,-1.33,98.12652868,54.697
1139,0.371,-3.31,186.9762458,75.414
1140,0.336,-1.18,117.7027028,62.273
1141,0.421,-0.77,68.83137346,43.749
