year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1931,1.17,10.72600079,3.48300004,-3.802000046,17.96999931,31.70100021,-3.53,8.964250684,107.5680008,-3.756666667,2.174499929,15.75524974
1932,1.183,10.87100029,2.907000065,-0.27700001,18.83699989,46.92100143,-1.08,8.674500227,199.3430061,-1.243333333,2.43975006,14.91025019
1933,1.198,9.718000412,3,-4.446000099,16.43700027,71.55999756,-2.69,9.11950019,114.9279976,-2.436666667,2.307249904,15.93225038
1934,1.181,10.64700031,3.289999962,-0.558000028,18.00499916,21.02300072,-3.29,9.788000464,171.4560032,-3.233333333,2.657499947,16.91974974
1935,1.18,10.77200031,2.470999956,-1.842000008,19.0739994,24.77700043,-3.49,8.109250367,82.70100022,-3.333333333,0.961499929,15.25799978
1936,1.19,12.79300022,7.475999832,1.513000011,18.11000061,57.62400055,-3.7,11.80525041,153.1490021,-3.82,5.913500071,17.69750023
1937,1.192,11.62100029,3.305999994,0.552999973,19.93700027,12.97799969,-2.61,9.541750431,163.4849997,-2.5,2.944999937,16.13925028
1938,1.176,10.41900063,2.266000032,-4.132999897,18.5720005,52.27299881,1.88,8.03875038,202.7010002,1.73,1.398250044,14.68000031
1939,1.197,10.74900055,2.911999941,0.981000006,18.58600044,33.93000031,-1.66,8.869250417,155.9430027,-1.66,1.829249963,15.90974998
1940,1.202,11.99400043,3.440999985,-2.674000025,20.54899979,26.92900085,-1.98,9.625000477,140.451004,-1.916666667,1.73300001,17.51824999
1941,1.152,10.26300049,4.176000118,-2.296999931,16.35000038,97.29599762,3.02,8.714000463,231.737999,1.676666667,2.508249998,14.92075014
1942,1.169,9.995000839,2.015000105,-5.118999958,17.97699928,24.36700058,-0.16,6.616250321,113.0840015,0.563333333,-0.518249929,13.75174987
1943,1.188,11.04100037,3.390000105,-5.06099987,18.69300079,50.38700104,0.92,7.385000288,165.2660008,1.356666667,0.907500088,13.86325037
1944,1.158,10.65300083,3.58100009,-2.798000097,17.72699928,16.14100075,1.21,7.416000485,283.8900089,1.913333333,1.25699997,13.57624984
1945,1.162,9.54900074,2.450000048,-4.282000065,16.64800072,79.82499695,1.58,6.450000346,223.6419964,1.93,0.22724995,12.67400014
1946,1.189,9.819000244,2.894999981,-1.610999942,16.74300003,22.02700043,1.97,7.827750206,119.6590004,0.54,1.610750042,14.04575026
1947,1.18,10.76400089,2.871999979,-3.130000114,18.65699959,48.97000122,-0.56,7.860500515,206.562006,0.336666667,1.045999974,14.67549992
1948,1.16,12.15700054,5.862999916,-0.55400002,18.45100021,37.33800125,-1.21,9.046250582,203.916996,-0.19,3.252000004,14.84149981
