year,chron,ppt.jja,tmax.paug,pdsi.poct,tmax.lsum,stream.yel,swe.yel
1696,1.02,,,,0.62,93.92613149,69.745
1697,0.982,,,,-0.28,96.11395214,60.215
1698,0.806,,,,-2.75,90.73742188,61.643
1699,0.393,,,,-0.73,135.4523161,67.037
1700,0.673,,,,-0.39,171.7063813,61.069
1701,0.812,,,,-0.32,132.6741871,43.273
1702,0.916,,,,-1.33,139.8899244,65.172
1703,0.785,,,,-0.73,64.38525729,67.464
1704,0.412,,,,-1.37,63.06471472,63.64
1705,0.718,,,,-0.58,124.6770264,53.201
1706,0.488,,,,-0.51,79.94410329,56.374
1707,0.884,,,,-0.77,83.32713224,67.139
1708,0.715,,,,-0.73,57.78118383,76.208
1709,0.75,,,,-0.09,106.1173596,52.004
1710,0.712,,,,0.65,70.43466211,56.349
1711,0.659,,,,0.35,80.68381697,66.183
1712,0.714,,,,0.09,73.2464255,36.959
1713,0.869,,,,-0.13,102.2789911,63.684
1714,1.162,,,,-0.92,109.5939135,51.746
1715,1.14,,,,-0.54,97.45103041,58.657
1716,1.402,,,,-0.51,107.3461407,47.479
1717,1.349,,,,0.62,58.58500017,58.984
1718,0.543,,,,0.99,65.73345134,53.327
1719,1.168,,,,0.47,115.2886186,58.736
1720,1.501,,,,0.69,139.5681865,47.972
1721,1.19,,,,1.59,44.74931951,58.654
1722,0.984,,,,1.14,84.29201495,57.78
1723,0.796,,,,0.13,134.8299693,56.694
1724,1.263,,,,1.48,101.3412917,42.233
1725,1.324,,,,-2.64,117.4319941,90.642
1726,1.55,,,,0.13,194.8885999,68.386
1727,2.006,,,,-2.79,173.6946475,89.688
1728,1.955,,,,0.77,140.859595,43.844
1729,1.257,,,,1.33,51.37909326,33.161
1730,0.713,,,,0.73,118.5185789,43.792
1731,0.723,,,,0.39,105.3868529,49.772
1732,1.437,,,,0.39,95.45230835,51.266
1733,0.927,,,,-0.73,175.3018242,46.781
1734,1.26,,,,-0.62,116.0877611,57.072
1735,0.854,,,,-0.02,56.20648616,59.066
1736,0.829,,,,-1.18,83.7117528,63.911
1737,0.916,,,,-0.06,104.1804995,43.284
1738,0.947,,,,-0.92,77.58654907,48.502
1739,0.915,,,,0.8,88.87639604,45.34
1740,0.96,,,,-0.43,82.37329444,78.751
1741,0.896,,,,0.47,114.7589155,45.04
1742,0.884,,,,1.22,93.92613149,75.558
1743,0.8,,,,0.69,83.90472832,49.709
1744,0.756,,,,0.92,56.20648616,58.262
1745,0.789,,,,-0.13,130.5528736,44.931
1746,0.702,,,,-0.99,209.7907983,46.34
1747,0.867,,,,-0.58,149.5500063,35.397
1748,0.606,,,,0.06,103.940891,43.734
1749,0.713,,,,-0.02,115.8207667,35.999
1750,1.094,,,,-1.33,122.9663934,32.376
1751,1.488,,,,1.18,115.2886186,50.019
1752,1.265,,,,-0.36,100.4121892,71.112
1753,0.762,,,,0.28,85.26807048,62.525
1754,0.797,,,,0.65,88.26457523,77.747
1755,0.611,,,,-1.48,81.24309047,33.939
1756,0.404,,,,1.59,41.28444357,23.218
1757,0.446,,,,0.92,86.4542675,58.922
1758,0.8,,,,-0.39,91.99970516,46.792
1759,0.51,,,,0.65,69.9497933,29.753
1760,0.55,,,,-0.2,89.08127729,39.97
1761,0.961,,,,-0.07,142.1629528,45.328
1762,0.873,,,,0.69,99.26278033,41.775
1763,0.99,,,,-1.44,91.99970516,54.584
1764,0.945,,,,-0.72,122.6835786,45.918
1765,0.634,,,,0.36,75.82046359,45.214
1766,0.853,,,,0.1,159.5094566,68.028
1767,1.208,,,,-0.72,185.2620373,62.626
1768,1.58,,,,-0.03,150.9337754,39.134
1769,0.934,,,,-0.64,110.6079735,64.63
1770,0.938,,,,0.53,74.78016783,50.235
1771,1.418,,,,0.21,114.2316462,45.174
1772,1.352,,,,0.39,86.65356517,56.532
1773,1.264,,,,1.31,103.940891,33.479
1774,0.995,,,,1.08,91.57700491,40.819
1775,1.603,,,,-0.57,163.2249091,86.926
1776,1.452,,,,1.29,126.1207183,23.231
1777,1.498,,,,-0.34,86.4542675,32.242
1778,1.697,,,,0.79,92.4243565,58.527
1779,1.94,,,,-1.82,110.6079735,76.294
1780,1.565,,,,-0.17,101.8090618,37.874
