year,std,stream.yel,swe.yel,tmax.lsum
891,0.915,98.57946016,45.27,-0.06
892,1.265,115.5543863,31.591,0.88
893,0.846,97.90084392,69.459,0.51
894,0.981,132.0646046,32.892,-0.06
895,0.699,67.10987587,69.065,-0.62
896,1.007,164.3563302,40.35,0.99
897,1.023,156.5980809,50.361,0.13
898,0.947,130.8538291,52.34,-0.73
899,1.123,141.5097734,36.611,0.06
900,1.006,113.9689207,56.687,0.99
901,0.989,126.1207183,59.097,-0.88
902,1.129,100.4121892,38.681,1.29
903,1.197,77.76540453,49.643,-0.77
904,1.167,83.90472832,44.597,0.09
905,1.075,88.26457523,47.831,0.51
906,1.062,125.2525094,55.436,-0.69
907,0.953,92.63741665,53.746,0.54
908,1.268,108.3394024,35.046,-1.1
909,1.505,116.8924431,38.035,-0.77
910,1.278,126.1207183,49.22,-0.95
911,0.91,106.85293,72.114,-1.22
912,1.11,78.12435333,51.841,-1.07
913,1.2,56.20648616,47.48,0.28
914,0.843,104.4206604,66.386,-0.66
915,0.996,80.12839348,50.396,1.18
916,1.155,119.6152178,38.815,-0.69
917,1.297,124.1041875,36.074,-0.24
918,0.982,89.49245778,56.735,-0.47
919,1.276,119.0656358,53.229,-1.33
920,1.527,63.50185844,34.604,-0.13
921,0.806,85.26807048,69.184,-0.24
922,1.294,79.39377195,41.763,0.84
923,1.549,86.4542675,33.091,0.28
924,0.738,52.81854525,66.767,0.17
925,0.956,128.4654775,47.487,1.07
926,0.993,111.6314165,49.421,1.48
927,0.568,75.64608137,74.221,0.62
928,0.796,151.9799984,52.286,-0.39
929,0.544,118.5185789,72.485,-0.62
930,0.424,103.940891,79.307,-2.6
931,0.665,92.63741665,49.818,0.73
932,1.112,90.73742188,36.416,-0.32
933,0.921,87.05353986,63.378,0.35
934,0.942,73.07796339,57.971,0.28
935,0.876,102.7510895,58.642,0.43
936,0.995,103.940891,33.732,1.66
937,0.82,143.4783704,53.199,-1.37
938,0.448,108.8394743,77.279,0.84
939,0.538,83.13548515,77.64,0.02
940,1.03,84.0981487,57.219,0.32
941,0.682,116.6235979,61.497,0.47
942,0.65,73.75414546,74.869,-1.03
943,0.721,112.9240474,54.975,-0.36
944,0.797,96.11395214,55.231,0.02
945,0.683,112.4052085,78.889,-4.7
946,0.874,98.57946016,80.808,-1.74
947,0.888,73.58451564,55.184,-1.4
948,0.931,76.17043495,50.84,-0.17
949,0.763,89.28663084,63.983,0.58
950,0.707,119.6152178,47.904,-0.43
951,1.151,102.7510895,16.31,0.09
952,1.051,126.4114566,42.703,-0.66
953,1.355,145.4743534,23.632,0.47
954,0.964,121.2792313,66.297,-0.13
955,1.459,79.94410329,33.188,0.65
956,1.37,97.90084392,41.043,0.69
957,0.873,41.57061366,52.579,1.22
958,1.51,148.8628864,38.125,0.62
959,1.51,85.66165002,60.202,-0.77
960,1.731,51.97403512,42.146,0.24
961,1.715,68.67306569,38.469,-0.32
962,1.404,82.18384112,42.852,0.77
963,1.761,106.85293,20.321,-0.47
964,1.817,102.5147686,26.95,1.25
965,0.728,107.0992515,44.689,0.95
966,0.877,63.7949697,55.098,1.14
967,0.592,106.85293,71.535,0.32
968,0.906,89.6987592,56.083,0.92
969,0.778,84.29201495,49.594,0.77
970,0.57,122.6835786,77.418,-0.36
971,0.613,69.14908464,67.661,-0.28
972,0.926,154.4494747,39.389,-0.66
973,1.137,151.6304541,22.524,-1.29
974,1.136,133.9018063,50.699,-2.79
975,1.153,77.40810495,49.914,0.09
976,1.003,157.6835669,67.515,-0.88
977,0.921,78.12435333,74.37,-0.47
978,1.032,87.85903634,52.071,-1.33
979,1.159,83.32713224,44.07,-0.99
980,1,84.0981487,67.95,-1.37
981,0.995,90.73742188,53.821,-4.1
982,1.047,86.25542821,43.714,0.24
983,0.687,93.27954855,78.498,-1.4
984,0.909,78.12435333,58.923,-0.84
985,1.004,97.45103041,65.292,-1.52
986,1.12,115.8207667,24.468,0.43
987,1.047,120.7220038,44.618,-1.74
988,1.198,95.45230835,31.273,-0.36
989,0.929,96.78018223,59.136,-0.51
990,0.886,109.0903752,95.055,-0.39
991,1.021,168.9609861,38.064,0.24
992,0.734,71.5791333,79.058,-0.24
993,0.697,108.3394024,72.492,-3.01
994,0.841,92.63741665,41.833,-2.08
995,1.089,77.05244702,45.761,0.24
996,1.143,93.92613149,52.789,-1.78
997,0.985,58.99109199,49.696,1.52
998,0.813,60.36517104,64.25,0.47
999,0.595,97.45103041,92.411,-1.14
1000,0.746,117.4319941,61.247,-0.17
1001,0.891,145.4743534,55.887,0.35
1002,0.999,112.1466837,54.387,1.4
1003,0.631,78.48495896,78.902,1.25
1004,1.004,112.4052085,63.733,-0.06
1005,1.048,106.85293,34.015,-0.77
1006,1.14,102.043756,42.568,0.88
1007,0.972,92.21178638,44.841,1.07
1008,1.043,148.5205113,53.571,-0.69
1009,0.921,127.8752323,66.863,-1.48
1010,1.094,91.15624679,45.634,-1.33
1011,1.006,95.45230835,60.22,-1.22
1012,0.754,54.67470337,75.531,-0.73
1013,1.09,110.099776,47.317,0.47
1014,0.959,47.72945062,73.255,-0.69
1015,1.342,69.30848974,40.75,-0.99
