year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt. jja,pdsi.aso,tmin.mjja,tmax.mjja
1927,0.954,7.656000137,2.105999947,-5.15199995,13.20699978,55.39500046,3.12,5.877000228,182.0289993,3.266666667,0.442750007,11.31200004
1928,1.006,8.721000671,0.409000009,-0.085000001,17.0340004,33.72700119,2.46,7.642500401,192.1980019,2.75,0.893000031,14.39300013
1929,1.012,11.60300064,3.977999926,-6.407999992,19.22999954,26.75900078,-1.93,7.887500405,111.2080021,-0.15,0.473749996,15.30249977
1930,0.975,11.52600098,6.368999958,-4.68599987,16.68499947,95.48300171,3,8.140750408,190.3010044,-0.336666667,1.511500031,14.77124977
1931,1.021,9.184000015,0.899999976,-3.901000023,17.46899986,29.93400002,-3.2,8.286500216,115.2859974,-3.383333333,1.070749968,15.50349975
1932,1.024,10.49500084,2.377000093,-1.692999959,18.61400032,40.27500153,-0.75,8.103250384,191.9920044,-1,1.461000055,14.74674988
1933,1.008,9.707000732,3.10800004,-4.666999817,16.30699921,63.41999817,-2.79,8.761250526,107.3869991,-2.513333333,1.649500012,15.87399983
1934,1.001,10.24100018,2.450999975,-1.730000019,18.03100014,18.15500069,-3.77,9.057250381,188.9639988,-3.646666667,1.558999969,16.55624986
1935,1.011,10.59200096,1.008999944,-3.180999994,20.1760006,25.80400085,-3.94,7.872500479,80.93600082,-3.703333333,-0.238250017,15.98449993
1936,1.012,12.17500019,5.993999958,-1.603000045,18.3579998,48.45500183,-4.08,10.65300059,147.7730026,-4.223333333,3.370999962,17.93624997
1937,1.018,10.89700031,1.993000031,-1.210000038,19.8029995,10.94900036,-2.81,8.912500381,162.359004,-2.69,1.519999953,16.30674982
1938,1.002,10.11000061,1.154000044,-4.479000092,19.06599998,45.56100082,1.76,7.971750259,191.4419975,1.626666667,0.476249993,15.46725035
1939,1.03,11.36800098,3.457999945,-0.458999991,19.27899933,34.30400085,-1.72,9.11700058,155.8120022,-1.706666667,1.741999984,16.49275017
1940,1.04,11.8210001,2.336999893,-3.58100009,21.30500031,23.4489994,-2.45,9.595500231,135.7749958,-2.31,1.379749924,17.81200004
1941,0.973,9.93100071,3.612999916,-3.005000114,16.25,82.69100189,3.25,8.290250421,215.1900024,1.75,1.767749965,14.81375003
1942,1.025,10.23600006,2.345000029,-5.18599987,18.12899971,21.07999992,-0.24,6.594500348,111.9649982,0.586666667,-0.600249976,13.79075003
1943,1.023,10.61800003,2.460000038,-5.544000149,18.77700043,43.24700165,0.64,6.970250204,152.5960045,1.03,-0.043249998,13.98449993
1944,1.022,10.12200069,2.263999939,-3.546000004,17.9810009,14.87800026,1.25,7.032000363,277.2930088,1.946666667,0.252499998,13.81250048
1945,0.986,9.391000748,2.007999897,-4.84800005,16.77499962,67.8789978,1.42,6.345250398,208.4829941,1.833333333,-0.296499997,12.9882499
1946,1.038,10.5170002,3.638999939,-3.023999929,17.39699936,20.52499962,1.86,8.284750342,117.0269985,-0.196666667,1.786999971,14.78349984
1947,1.057,10.3760004,2.148000002,-3.095999956,18.60400009,42.00600052,-0.55,7.643500268,198.6450062,0.43,0.434249967,14.85424995
1948,1.066,11.35300064,3.815000057,-1.34800005,18.8920002,28.66399956,-1.36,8.603500485,198.5980015,-0.243333333,2.034250021,15.17424989
1949,1.077,12.2850008,4.56400013,-2.128000021,20.00799942,12.86200047,0.7,8.727500439,111.5049982,-0.616666667,1.381250024,16.07499981
1950,1.036,9.9810009,2.375999928,-6.576000214,17.58799934,21.81599998,3.01,6.461000457,172.2000027,3,-0.697750062,13.62074983
1951,0.942,9.55300045,2.91899991,-3.015000105,16.18700027,53.89599991,4.16,6.998500288,193.5740013,3.976666667,0.303999961,13.69325018
1952,1.017,11.13200092,4.070000172,-3.279999971,18.19400024,49.02299881,-2.09,8.437000513,139.5619965,0.566666667,1.300250054,15.57450008
1953,1.024,11.77000046,4.209000111,-5.372000217,19.33200073,41.92399979,-2.13,8.359500319,119.8759985,-0.93,1.146749944,15.57375014
1954,1.023,10.52000046,3.224999905,-3.654000044,17.81599998,27.55999947,-1.78,8.20200032,134.9279957,-1.536666667,1.073249996,15.33150029
1955,1.029,12.93900108,5.474999905,-3.049999952,20.40399933,19.15200043,-1.56,8.605250478,118.4589977,-1.106666667,1.643749997,15.5679996
1956,1.047,9.889000893,2.433000088,-2.250999928,17.34600067,28.26499939,-2.84,8.762500644,80.67599868,-0.11,1.675250054,15.85074997
