year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1872,0.456,,,,,,,,,,
1873,0.694,,,,,,,,,,
1874,0.672,,,,,,,,,,
1875,0.548,,,,,,,,,,
1876,0.635,,,,,,,,,,
1877,0.603,,,,,,,,,,
1878,0.631,,,,,,,,,,
1879,0.422,,,,,,,,,,
1880,0.375,,,,,,,,,,
1881,0.506,,,,,,,,,,
1882,0.525,,,,,,,,,,
1883,0.333,,,,,,,,,,
1884,0.467,,,,,,,,,,
1885,0.552,,,,,,,,,,
1886,0.552,,,,,,,,,,
1887,0.419,,,,,,,,,,
1888,0.508,,,,,,,,,,
1889,0.499,,,,,,,,,,
1890,0.493,,,,,,,,,,
1891,0.496,,,,,,,,,,
1892,0.527,,,,,,,,,,
1893,0.645,,,,,,,,,,
1894,0.543,,,,,,,,,,
1895,0.556,9.773000717,2.763000011,16.7840004,,,7.562000275,1.339249998,13.78550029,124.4760036,-0.3825
1896,0.627,11.27100086,5.150000095,17.3920002,23.81500053,-0.71,8.572000623,2.398500025,14.74575019,122.0909996,-2.8125
1897,0.549,10.13900089,3.344000101,16.93400002,41.15100098,-2.96,9.574750662,3.064250067,16.08599973,172.8389988,-2.675
1898,0.639,10.24400043,2.996000051,17.49200058,48.60900116,-2.53,8.078250289,1.282500014,14.87425041,173.1729974,-1.9975
1899,0.515,10.87000084,2.640000105,19.10000038,48.15599823,-1.65,8.221000433,0.975500018,15.46675014,135.9029999,-2.59
1900,0.612,9.800000191,1.312999964,18.28899956,42.74300003,-1.95,8.385500312,0.591749966,16.18074965,46.3369999,-4.7775
1901,0.538,12.6760006,4.487999916,20.86599922,13.73799992,-5.3,8.206750214,1.704250008,14.71074963,140.8789997,-2.11
1902,0.532,8.072999954,0.143999994,16.00399971,22.14599991,-2.1,6.622000217,-0.857000008,14.10274982,114.7470016,-3.51
1903,0.511,8.160000801,0.907000005,15.41499996,40.32400131,-2.91,6.735500276,-0.074249968,13.5462501,134.3900023,-2.88
1904,0.468,8.611000061,1.042999983,16.18099976,60.25500107,-1.96,7.123000145,-0.354000002,14.60074997,125.7439957,-1.4575
1905,0.567,8.458000183,1.394999981,15.52200031,40.72499847,-1.13,7.304000378,0.404500022,14.20425034,183.8399944,-1.195
1906,0.535,9.755000114,1.100999951,18.4109993,48.91899872,-0.63,7.220250249,-0.367499993,14.80949974,171.3339996,-0.8275
1907,0.448,8.384000778,0.671999991,16.09700012,38.64099884,1.73,6.836000443,-0.210249983,13.88374972,214.6569977,1.69
1908,0.707,12.43400097,5.782999992,19.08600044,57.27899933,2.8,7.892250538,1.044250004,14.74150014,187.6940003,3.025
1909,0.675,9.790000916,1.580000043,18.00099945,33.65000153,2.97,8.373000622,1.294750013,15.45249963,156.6299973,-0.29
1910,0.718,11.05700016,2.282000065,19.83300018,54.64699936,0.7,7.693000317,-0.407249987,15.79425001,78.56100082,-2.6775
1911,0.687,8.559000015,0.647000015,16.47299957,29.46100044,-3.17,6.859750271,-0.525749981,14.24624991,133.6299992,-0.875
1912,0.761,7.556000233,0.953999996,14.15999985,31.4109993,-0.58,5.747000188,-1.147250013,12.64249992,161.3810005,-0.035
1913,0.771,7.801000595,-0.522000015,16.12400055,68.54299927,1.18,7.143750429,-0.914249998,15.20274997,194.2940063,0.2025
1914,0.811,11.29800034,3.188999891,19.40800095,80.84300232,1.52,7.809500337,-0.437000029,16.0567503,134.4869967,-1.0175
1915,0.572,7.967000484,-0.665000021,16.60000038,25.78899956,-1.33,5.936750174,-1.375249937,13.25,259.2330017,0.36
1916,0.712,11.02700043,3.430000067,18.62599945,87.89900208,3.8,7.668750405,-0.163750002,15.50300002,157.6860008,2.865
1917,0.614,12.68400097,4.877999783,20.49099922,35.72100067,2.48,8.111500382,0.802499935,15.421,83.77600097,0.895
1918,0.672,9.263000488,2.346999884,16.18000031,13.07600021,-1.35,8.057500243,1.218249977,14.89799976,149.0299988,-1.185
1919,0.704,11.50900078,3.161000013,19.85700035,61.5530014,-0.82,9.707500339,1.830000024,17.58599973,38.1949997,-4.7475
1920,0.636,10.21900082,1.888000011,18.5510006,17.05900002,-5.59,7.774750352,0.503750011,15.04675031,159.5569973,-1.18
1921,0.747,9.605000496,2.247999907,16.96299934,22.71999931,-0.87,7.488000333,0.411749959,14.56549978,137.637001,-1.735
