year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt. jja,pdsi.aso,tmin.mjja,tmax.mjja
1862,0.967,,,,,,,,,,,
1863,1.032,,,,,,,,,,,
1864,1.011,,,,,,,,,,,
1865,1.014,,,,,,,,,,,
1866,0.991,,,,,,,,,,,
1867,1.003,,,,,,,,,,,
1868,0.98,,,,,,,,,,,
1869,0.999,,,,,,,,,,,
1870,1.023,,,,,,,,,,,
1871,1.017,,,,,,,,,,,
1872,1.001,,,,,,,,,,,
1873,1.039,,,,,,,,,,,
1874,1.04,,,,,,,,,,,
1875,0.917,,,,,,,,,,,
1876,0.998,,,,,,,,,,,
1877,1.016,,,,,,,,,,,
1878,1.019,,,,,,,,,,,
1879,0.988,,,,,,,,,,,
1880,0.945,,,,,,,,,,,
1881,1.046,,,,,,,,,,,
1882,1.04,,,,,,,,,,,
1883,0.96,,,,,,,,,,,
1884,0.963,,,,,,,,,,,
1885,0.95,,,,,,,,,,,
1886,0.952,,,,,,,,,,,
1887,0.996,,,,,,,,,,,
1888,1.003,,,,,,,,,,,
1889,1.035,,,,,,,,,,,
1890,1.016,,,,,,,,,,,
1891,1.002,,,,,,,,,,,
1892,1.004,,,,,,,,,,,
1893,1.018,,,,,,,,,,,
1894,1.068,,,,,,,,,,,
1895,1.017,8.768000603,1.442999959,-5.449999809,16.09499931,17.23600006,-1.84,5.525500357,130.2109985,-1.41,-1.37924999,12.43174982
1896,1.067,9.389000893,3.145999908,-5.097000122,15.63399982,28.85000038,-2.64,6.41800034,134.1039982,-2.776666667,0.107749939,12.72949982
1897,1.069,11.62500095,5.18599987,-1.143000007,18.06500053,11.73600006,-2.99,7.954750538,188.1980019,-2.98,1.336499959,14.57450008
1898,1.056,9.591000557,1.88499999,-4.43200016,17.29700089,15.1590004,-2.15,5.707750347,187.3459969,-2.033333333,-0.691000044,12.10700023
1899,0.902,7.136000156,-0.953999996,-5.757999897,15.22799969,40.43899918,-2.56,5.603500196,150.586998,-2.333333333,-1.385499958,12.5932498
1900,0.998,8.102000237,-0.104999997,-4.304999828,16.30999947,21.15999985,-4.95,7.117250144,47.43199921,-5.113333333,-0.995999958,15.23149967
1901,1.022,10.25300026,3.697999954,-2.049999952,16.80800056,25.35700035,-2.11,7.405500233,157.9870014,-1.916666667,0.530250013,14.2817502
1902,1.011,7.210000515,-0.898000002,-3.878999949,15.31900024,12.11200047,-3.39,5.42225033,132.7510004,-3.143333333,-2.236000002,13.08150005
1903,1.027,8,0.270000011,-6.989999771,15.73099995,16.54700089,-1.82,5.067500196,161.2400017,-1.893333333,-2.036499955,12.17199993
1904,1.013,7.964000225,0.216999993,-6.053999901,15.71199989,39.70899963,-2.09,4.998500191,134.0690002,-1.66,-2.414499957,12.41200006
1905,0.998,9.324000359,2.28399992,-6.822000027,16.36499977,30.37999916,-0.91,4.538750172,194.0820026,-0.98,-1.879000022,10.95674992
1906,0.981,7.346000195,-0.467999995,-4.131999969,15.16100025,67.4489975,1.06,5.18625018,188.0709992,1.41,-1.881999992,12.25549996
1907,0.945,7.567000389,-1.026000023,-8.029000282,16.1609993,66.27700043,2.17,4.317500204,233.6930008,2.486666667,-2.74225007,11.37824976
1908,0.96,6.605000496,-0.968999982,-5.236000061,14.18099976,46.75699997,2.61,5.344750404,191.0360031,2.63,-1.179999977,11.87099981
1909,0.963,9.463000298,0.934000015,-6.118999958,17.99300003,36.87200165,1.14,5.932750273,177.4850006,1.013333333,-1.292249986,13.15799999
1910,0.978,6.345000267,-2.914000034,-6.515999794,15.60499954,19.22400093,-1.92,5.807500243,84.49299813,-2.55,-2.708499983,14.32474971
1911,0.987,5.765000343,-2.21600008,-6.288000107,13.74699974,23.44300079,0.57,5.081500173,151.1360016,0.023333333,-2.359500043,12.52374983
1912,0.961,6.392000198,-1.052999973,-6.540999889,13.8380003,50.56100082,3.27,4.574000224,165.1389999,2.19,-2.525249988,11.67425013
1913,0.962,8.155000687,-0.661000013,-6.350999832,16.97200012,20.73500061,1.54,5.441500366,214.5540009,1.28,-2.584249944,13.46799994
1914,0.987,7.956000328,-0.883000016,-6.918000221,16.79599953,9.44699955,-0.78,5.931500345,144.5299959,-1.003333333,-2.260250032,14.12424994
1915,0.872,8.327000618,0.149000004,-7.027999878,16.50699997,62.94300079,3.66,4.099250287,283.2720032,3.77,-3.607249957,11.80674994
1916,0.937,7.734000206,-1.251999974,-5.797999859,16.72100067,37.14400101,2.38,5.411750276,166.182003,2.226666667,-1.981749952,12.80550051
1917,0.879,7.710000515,-0.071000002,-6.644999981,15.49199963,15.93799973,-1.43,5.377500206,87.33700181,-1.296666667,-1.77050004,12.52575016
1918,0.889,7.461000443,0.136999995,-6.915999889,14.7869997,41.2519989,1.49,5.847000353,162.4539986,0.656666667,-1.140749983,12.8355
1919,1.009,9.850000381,2.198999882,-5.544000149,17.50200081,11.43000031,-4.16,7.895750344,47.76399994,-4.976666667,-0.498000071,16.29050016
1920,1.016,8.411000252,1.187999964,-6.132999897,15.63599968,48.79700089,-1.07,5.413750209,177.0810013,-1.056666667,-1.869749963,12.69849992
1921,1.014,8.379000664,0.268999994,-5.811999798,16.48999977,32.17499924,-2.58,5.842500329,155.2010002,-2.106666667,-1.253249951,12.93924987
1922,1.01,11.19100094,2.911000013,-2.776000023,19.47299957,52.27000046,-1.04,7.209750414,206.329998,0.33,0.35725001,14.06374979
1923,0.978,8.163000107,1.442999959,-5.394999981,14.88399982,58.52899933,3.18,7.148250341,247.9910011,2.313333333,1.008250028,13.28974962
1924,1.004,8.094000816,0.247999996,-6.145999908,15.94099998,25.91600037,0.52,5.539500371,153.3169975,-0.68,-1.674499966,12.75450015
1925,0.983,8.440999985,0.879000008,-4.671000004,16.00300026,45.09600067,1.37,6.611250043,162.6119995,1.25,-0.54324998,13.76625013
1926,0.988,9.938000679,4.482999802,-1.565000057,15.39400005,80.95899963,-0.87,7.432500422,188.2340012,-0.853333333,1.243749917,13.62225008
1927,0.913,7.215000153,2.09800005,-6.500999928,12.33300018,60.67200089,2.05,5.313000053,192.1520004,2.35,0.078000039,10.54824996
1928,0.991,7.813000202,0.165000007,-0.658999979,15.46199989,40.99300003,1.27,6.861750245,209.5760002,1.53,0.714500037,13.00999999
1929,1.022,11.19000053,3.77699995,-7.340000153,18.60400009,33.31299973,-1.63,7.259500297,124.6050034,-1.386666667,0.05974996,14.45974982
1930,1.01,11.08600044,6.038000107,-5.652999878,16.13500023,101.9440002,-0.69,7.465250313,198.171997,-1.773333333,0.897000134,14.03425026
1931,1.028,9.49200058,2.051000118,-5.214000225,16.93400002,31.12000084,-3.8,7.737750351,115.0939999,-4.073333333,0.749249995,14.7272501
1932,1.038,9.693000793,1.738000035,-2.197999954,17.64999962,47.10100174,-1.18,7.316250443,211.7450028,-1.393333333,0.887000024,13.74650002
1933,1.054,8.503000259,1.754999995,-5.988999844,15.2510004,72.93699646,-2.82,7.814250425,120.779995,-2.513333333,0.847000092,14.78150046
1934,1.035,9.344000816,1.827999949,-2.236999989,16.86199951,21.01199913,-3.52,8.427250385,194.4820004,-3.446666667,1.078999966,15.77624989
1935,1.036,9.484000206,1.09800005,-3.852999926,17.87199974,24.20999908,-3.57,6.791750267,88.88999748,-3.443333333,-0.488749981,14.07374966
1936,1.043,11.47300053,5.986000061,-0.177000001,16.96100044,57.5929985,-3.86,10.44000053,163.8170013,-3.963333333,4.299750041,16.58174992
1937,1.033,10.39800072,2.006000042,-1.416000009,18.79199982,13.63000011,-2.81,8.17375052,176.836997,-2.673333333,1.394499987,14.9542501
1938,1.036,9.026000023,0.814999998,-5.605000019,17.23800087,51.01300049,1.95,6.669500127,214.1959992,1.8,-0.115000025,13.45525002
1939,1.056,9.537000656,1.707000017,-0.827000022,17.36700058,32.9980011,-1.78,7.590000391,162.5569993,-1.723333333,0.472000033,14.70875001
1940,1.05,10.72600079,2.125999928,-4.211999893,19.32799911,25.40999985,-1.94,8.375000477,146.6200028,-1.856666667,0.403000009,16.34799981
1941,0.98,9.023000717,2.83100009,-3.855000019,15.2159996,97.30699921,3.08,7.414250493,238.5139999,1.71,1.048999966,13.78049994
1942,1.006,8.785000801,0.79400003,-6.620999813,16.77799988,24.9090004,0.61,5.353000388,124.7600021,0.866666667,-1.878999919,12.5857501
1943,1.003,9.774000168,2.013000011,-6.657999992,17.5359993,50.67200089,1.09,6.034250304,170.553999,1.516666667,-0.642749995,12.71199965
1944,0.988,9.251000404,1.871999979,-4.415999889,16.63199997,16.16300011,1.15,6.032250345,299.1759968,1.89,-0.36399997,12.42949986
1945,0.996,8.329999924,1.238999963,-5.931000233,15.42199993,78.1780014,1.65,5.162000157,224.4379978,1.993333333,-1.19900009,11.52424991
1946,1.049,8.768000603,1.934000015,-3.578999996,15.60299969,22.13299942,1.95,6.663250268,130.1760025,0.57,0.343250021,12.98374987
